rarity_class,price_usd
HR,448.9
SAR,366.20714285714286
SIR,162.41666666666666
SR,155.46285714285713
Rare,39.97160714285714
Unknown,36.64300595238095
Rare Holo,25.927297297297297
AR,14.46810810810811
IR,14.204736842105262
UR,9.796666666666667
Common,4.287
RR,4.257
Uncommon,3.4628571428571426
